ID,Date,League,Team1,Team2,GT1,GT2,HGF,DGF
7403,2014-10-18,Stena Line FD-Pokal (Herren),USV Halle Saalebiber,BAT Berlin,8,9,T,F
8773,2014-10-18,Stena Line FD-Pokal (Herren),Teutonia Bielefeld,USV TU Dresden,3,12,T,F
7791,2014-10-18,Stena Line FD-Pokal (Herren),ETV Hamburg II,TV Lilienthal,2,13,T,F
6843,2014-10-19,Stena Line FD-Pokal (Herren),MFBC Leipzig/Grimma,UV Zwigge 07,11,1,T,F
2008,2014-10-19,Stena Line FD-Pokal (Herren),TSV Neuwittenbek,Blau-Weiß 96 Schenefeld,5,2,T,F
2413,2014-10-19,Stena Line FD-Pokal (Herren),Red Devils Wernigerode U23,TSV Lesum-Burgdamm,9,4,T,F
320,2014-10-19,Stena Line FD-Pokal (Herren),SG Osnabrück-Paderborn,ATS Buntentor Knights,2,5,T,F
2166,2014-10-19,Stena Line FD-Pokal (Herren),Floor Fighters Chemnitz II,Floorball Butzbach,4,5,T,F
6804,2014-10-19,Stena Line FD-Pokal (Herren),MFBC Leipzig,Red Hocks Kaufering,9,6,T,F
6084,2014-10-19,Stena Line FD-Pokal (Herren),SC DHfK Leipzig,Westfälischer Floorball Club,13,5,T,F
533,2014-10-19,Stena Line FD-Pokal (Herren),SSC Hochdahl,DJK Holzbüttgen,1,5,T,F
5363,2014-10-19,Stena Line FD-Pokal (Herren),TSG Erlensee,SSF Dragons Bonn,7,15,T,F
2562,2014-10-19,Stena Line FD-Pokal (Herren),Gettorfer TV I,ETV Piranhhas,0,9,T,F
5179,2014-10-25,Westliga Herren Großfeld,UC Marburger Elche,Floorball Mainz,5,3,T,F
2903,2014-10-25,RL Herren GF Staffel 2,USV Halle Saalebiber II,UHC Sparkasse Weißenfels II,2,11,T,F
9228,2014-10-25,Regionalliga Nordwest (Herren GF),ATS Buntentor Knights,SG Seebergen/Lilienthal (GF),6,3,T,F
7816,2014-10-25,Westliga Herren Großfeld,TSV Tollwut Ebersgöns,ASV Köln,3,6,T,F
1567,2014-10-25,1. FBL Herren,Floor Fighters Chemnitz,Red Devils Wernigerode,3,9,T,F
3621,2014-10-25,Westliga Herren Großfeld,SV Espenau Rangers,TSV Tollwut Ebersgöns,2,9,T,F
7232,2014-10-25,1. FBL Herren,SSF Dragons Bonn,TV Lilienthal,6,5,T,F
4787,2014-10-25,2. FBL Nord/West,DJK Holzbüttgen,Floorball Butzbach,4,2,T,F
3053,2014-10-25,2. FBL Süd/Ost,PTSV United Lakers Konstanz,Floorball Tigers Magdeburg,3,4,T,F
1670,2014-10-25,Westliga Herren Großfeld,ASV Köln,SSC Hochdahl,2,4,T,F
3742,2014-10-25,Westliga Herren Großfeld,TSG Erlensee,UC Marburger Elche,3,9,T,F
4387,2014-10-25,Westliga Herren Großfeld,SSC Hochdahl,SV Espenau Rangers,2,1,T,F
4519,2014-10-25,RL Herren GF Staffel 1,UHC Döbeln 06 II,Partisan Connewitz,5,4,T,F
5287,2014-10-25,Westliga Herren Großfeld,Floorball Mainz,SSF Dragons Bonn II,4,1,T,F
8750,2014-10-25,1. FBL Herren,MFBC Leipzig,Unihockey Igels Dresden,10,7,T,F
7521,2014-10-25,2. FBL Nord/West,TV Eiche Horn Bremen,TSV Neuwittenbek,6,5,T,F
7187,2014-10-25,RL Herren GF Staffel 2,FBC Phönix Leipzig,MFBC Leipzig/Grimma,2,4,T,F
2232,2014-10-25,RL Herren GF Staffel 1,SG Heidenau/Graupa,Unihockey Igels Dresden II,2,8,T,F
