,ID,Date,League,GT1,GT2,T1ID,T2ID
168,8521,2014-11-08,Regionalliga Nordwest (Herren GF),7,5,3,189
169,2072,2014-11-08,Regionalliga Süd (GF),10,1,95,219
170,4470,2014-11-08,1. FBL Herren,7,9,80,203
171,2659,2014-11-08,1. FBL Herren,6,5,76,38
172,2950,2014-11-08,Herren Großfeld Regionalliga Nord,4,9,93,73
173,7207,2014-11-08,1. FBL Herren,5,4,11,48
174,3714,2014-11-08,Regionalliga Nordwest (Herren GF),3,10,185,118
175,9144,2014-11-08,2. FBL Nord/West,8,6,32,64
176,2809,2014-11-08,Herren Großfeld Verbandsliga Nord,9,2,187,74
177,7483,2014-11-08,Herren Großfeld Verbandsliga Nord,3,11,117,181
178,9561,2014-11-08,RL Herren GF Staffel 1,9,5,208,204
179,3773,2014-11-08,RL Herren GF Staffel 1,7,0,49,121
180,1338,2014-11-08,Regionalliga Süd (GF),2,6,46,37
181,9552,2014-11-08,2. FBL Süd/Ost,5,8,15,200
182,8083,2014-11-08,Herren Großfeld Regionalliga Nord,1,5,124,39
183,1077,2014-11-09,2. FBL Süd/Ost,3,12,213,197
184,7190,2014-11-09,Regionalliga Süd (GF),5,3,87,155
185,6795,2014-11-09,RL Herren GF Staffel 2,2,6,136,43
186,1984,2014-11-09,2. FBL Nord/West,3,10,221,194
187,1781,2014-11-09,RL Herren GF Staffel 1,2,4,204,215
188,6237,2014-11-09,RL Herren GF Staffel 2,5,6,211,55
189,7693,2014-11-09,Regionalliga Nordwest (Herren GF),9,4,163,76
190,6699,2014-11-09,1. FBL Herren,7,8,217,97
191,9231,2014-11-09,Regionalliga Süd (GF),1,5,155,139
192,3707,2014-11-09,RL Herren GF Staffel 1,2,4,208,49
193,6032,2014-11-09,Regionalliga Süd (GF),6,3,139,24
194,9086,2014-11-09,Regionalliga Süd (GF),1,9,24,87
195,9553,2014-11-09,1. FBL Herren,6,8,11,38
196,5415,2014-11-09,2. FBL Nord/West,3,5,64,26
197,9559,2014-11-09,Regionalliga Nordwest (Herren GF),10,8,127,145
198,4832,2014-11-09,1. FBL Herren,11,3,203,158
199,5235,2014-11-09,2. FBL Nord/West,8,7,186,52
200,6260,2014-11-15,Stena Line FD-Pokal (Herren),10,6,203,194
201,7795,2014-11-15,Stena Line FD-Pokal (Herren),7,11,95,197
202,6350,2014-11-15,Stena Line FD-Pokal (Herren),3,13,12,38
203,2091,2014-11-15,Stena Line FD-Pokal (Herren),6,19,3,97
204,5270,2014-11-15,Stena Line FD-Pokal (Herren),9,0,205,98
205,5206,2014-11-15,Stena Line FD-Pokal (Herren),4,3,32,213
206,4645,2014-11-15,Stena Line FD-Pokal (Herren),5,6,64,52
207,2143,2014-11-16,Herren Großfeld,3,1,12,58
208,2643,2014-11-16,Stena Line FD-Pokal (Herren),3,10,127,186
209,4047,2014-11-16,Herren Großfeld,6,5,59,14
210,3532,2014-11-16,Stena Line FD-Pokal (Herren),5,3,76,11
211,5712,2014-11-16,Stena Line FD-Pokal (Herren),6,3,118,26
212,590,2014-11-16,Stena Line FD-Pokal (Herren),12,0,80,99
213,4736,2014-11-16,Stena Line FD-Pokal (Herren),5,14,81,158
214,351,2014-11-22,2. FBL Nord/West,8,2,19,221
215,4186,2014-11-22,Westliga Herren Großfeld,7,5,1,166
216,9304,2014-11-22,Westliga Herren Großfeld,6,4,166,56
217,6566,2014-11-22,Regionalliga Süd (GF),13,7,139,95
218,403,2014-11-22,Regionalliga Nordwest (Herren GF),6,9,76,118
219,4738,2014-11-22,2. FBL Nord/West,4,3,52,32
220,6833,2014-11-22,Regionalliga Süd (GF),2,8,219,139
221,8489,2014-11-22,Westliga Herren Großfeld,7,2,78,157
